2025-06-24 20:20:03 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:04 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:05 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:06 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:07 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:08 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:09 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:10 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:11 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:12 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:13 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:14 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:15 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:16 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:17 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:18 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:19 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:20 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:21 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:22 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:23 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:24 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:25 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:26 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:27 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:28 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:29 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:30 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:31 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:32 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:33 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:34 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:35 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:36 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:37 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:38 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:39 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:40 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:41 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:42 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:43 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:44 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:45 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:46 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:47 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:48 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:49 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:50 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:51 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:52 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:53 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:54 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:55 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:56 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:57 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:58 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:20:59 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:00 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:01 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:02 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:03 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:04 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:05 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:06 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:07 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:08 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:09 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:10 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:11 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:12 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:13 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:14 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:15 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:16 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:17 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:18 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:19 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:20 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:21 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:22 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:23 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:24 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:25 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:26 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:27 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:28 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:29 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:30 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:31 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:32 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:33 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:34 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:35 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
2025-06-24 20:21:36 [INFO] routes\backtest.py - Getting all backtests grouped by strategy
